id_original,keep_id
2306,2305
2438,2437
2439,2437
2286,2285
2287,2285
2226,2225
2227,2225
2151,2150
2152,2150
2156,2155
4617,4616
4619,4616
4653,4652
4721,4720
4722,4720
4628,4627
4629,4627
4588,4587
4589,4587
4613,4612
4834,4833
4835,4833
4836,4833
17987,17985
17988,17985
17991,17990
17936,17935
17937,17935
17193,17192
17194,17192
17256,17255
17062,17061
17063,17061
17243,17242
17244,17242
17156,17155
18153,18152
18154,18152
18155,18152
18156,18152
18157,18152
18158,18152
18466,18465
18503,18502
18476,18475
18429,18428
18430,18428
18431,18428
18432,18428
18433,18428
18415,18414
18416,18414
18417,18414
18449,18448
16944,16943
16945,16943
17043,17042
17497,17496
17524,17523
17525,17523
17526,17523
17450,17449
17451,17449
17611,17610
17606,17605
17824,17822
17825,17822
17847,17846
17793,17792
17794,17792
17744,17743
17293,17292
17294,17292
18267,18266
9859,9858
10005,10004
9974,9973
9975,9973
9174,9173
9196,9195
9197,9195
9182,9181
1694,1693
1443,1442
1444,1442
1449,1448
1435,1434
1841,1840
1817,1816
1871,1870
2030,2029
2035,2034
28533,28532
28474,28470
28432,28431
28588,28587
28464,28463
28070,28069
28231,28228
28233,28228
28049,28047
28941,28940
28816,28815
28654,28653
28655,28653
3060,3059
2944,2943
2945,2943
3076,3074
3007,3006
3079,3078
3080,3078
2975,2974
2976,2974
2473,2472
2474,2472
2475,2472
2476,2472
2477,2472
2598,2597
2856,2855
2857,2855
2897,2896
2627,2625
2631,2630
31164,31163
31165,31163
31702,31700
31713,31712
31714,31712
31313,31312
31314,31312
134,133
135,133
136,133
341,340
342,340
10,9
375,374
43,42
304,303
13741,13740
13742,13740
13855,13854
13817,13816
13932,13931
13749,13748
13750,13748
13754,13748
14844,14841
14867,14866
14793,14792
14795,14794
14885,14882
14884,14883
14809,14808
14810,14808
14908,14907
14786,14785
14407,14406
14587,14586
14478,14477
14479,14477
14598,14597
14350,14349
14357,14356
14239,14238
14361,14360
14344,14343
15493,15492
15522,15521
15509,15508
15424,15423
15539,15538
14020,14019
13958,13957
15647,15646
15648,15646
15649,15646
15650,15646
15138,15137
15114,15113
15076,15075
15077,15075
15086,15084
15090,15089
15091,15089
15154,15153
15155,15153
15156,15153
15261,15260
15262,15260
15291,15290
15292,15290
15206,15205
14626,14625
14627,14625
14628,14625
14607,14606
15709,15708
15710,15708
15711,15708
15712,15708
15714,15708
15715,15708
14914,14913
14984,14983
15009,15008
15010,15008
14970,14969
14999,14998
14976,14975
14162,14161
14172,14171
21646,21645
21647,21645
21881,21880
21808,21807
21809,21807
21810,21807
21812,21811
21763,21761
21629,21628
21630,21628
21631,21628
21632,21628
21706,21705
21707,21705
21860,21859
21861,21859
21658,21657
21851,21850
21502,21501
21503,21501
21432,21431
21545,21544
21439,21438
22029,22028
21966,21965
21943,21942
21944,21942
21968,21967
22038,22037
22039,22037
22051,22050
21330,21329
21300,21299
21301,21299
21276,21275
21277,21275
22155,22154
22156,22154
22157,22154
22158,22154
22159,22154
22160,22154
22161,22154
22162,22154
22163,22154
22164,22154
22165,22154
22166,22154
22167,22154
22110,22109
22183,22182
22270,22269
22296,22295
22533,22532
22336,22335
21193,21192
21090,21089
21033,21032
21056,21055
5430,5431
6134,6132
6137,6136
6184,6183
6185,6183
6186,6183
6141,6140
6142,6140
6143,6140
6145,6140
6229,6228
6286,6285
6287,6285
6288,6285
6296,6295
6297,6295
5928,5927
5978,5977
5621,5620
6507,6506
6471,6470
6472,6470
6516,6515
6519,6518
5289,5288
5304,5281
5683,5682
26771,26770
26830,26828
26958,26960
26961,26960
26962,26960
26948,26949
26841,26842
26843,26842
26922,26921
26884,26883
26885,26883
26886,26883
26308,26307
26350,26349
26166,26165
26577,26576
26259,26260
26237,26236
27082,27081
16102,16101
16103,16101
16104,16101
16214,16213
16215,16213
16126,16125
16127,16125
16065,16064
16066,16064
16562,16561
16004,16003
15958,15957
16701,16700
15878,15847
15879,15847
15884,15883
15859,15858
7451,7450
7575,7574
7623,7622
7624,7622
7460,7459
7491,7490
7554,7551
7567,7566
7592,7591
7593,7591
9034,9033
9082,9081
9004,9003
9041,9040
9011,9010
8951,8950
9069,9068
7951,7950
8468,8467
8566,8565
8569,8568
8482,8481
8416,8415
8417,8415
8576,8575
8278,8277
8279,8277
8280,8277
8349,8348
8331,8330
7743,7742
7839,7838
7898,7897
7899,7897
7900,7897
7901,7897
7360,7359
7415,7414
6961,6960
6832,6831
6833,6831
6730,6729
8691,8690
8131,8130
20621,20620
20646,20645
20647,20645
20648,20645
20676,20675
20581,20580
20582,20580
20592,20591
19893,19892
19907,19906
20058,20055
20060,20055
20061,20055
20062,20055
20063,20055
20064,20055
20207,20206
20212,20211
20213,20211
19683,19682
19638,19637
19601,19600
21013,21012
20539,20538
18995,18994
19053,19052
19154,19153
18801,18800
18802,18800
18845,18844
18846,18844
23497,23496
23351,23350
23352,23350
23354,23353
23435,23433
23526,23525
23328,23327
23407,23406
23487,23486
23488,23486
23282,23281
23283,23281
23284,23281
23285,23281
23413,23411
23414,23411
23415,23411
23493,23492
23494,23492
23394,23393
23470,23469
23149,23148
23818,23817
23819,23817
23820,23817
23821,23817
23822,23817
23763,23762
23764,23762
23765,23762
23051,23050
23948,23946
22871,22870
25187,25186
24751,24750
24752,24750
25041,25040
24366,24365
24367,24365
24871,24870
24872,24870
24821,24820
24822,24820
24823,24820
24824,24820
24825,24820
24826,24820
10508,10507
10617,10616
10410,10409
10411,10409
10493,10492
10525,10524
10426,10425
10478,10477
10479,10477
11307,11306
11423,11424
11470,11471
11472,11471
11343,11342
11344,11342
11345,11342
10278,10277
11107,11106
11108,11106
11133,11132
11134,11132
11662,11661
10725,10724
10863,10862
11569,11568
11570,11568
12325,12324
12189,12188
12313,12312
12489,12488
12506,12505
12604,12603
12590,12589
12625,12624
12817,12816
12823,12822
12413,12412
22746,22744
22652,22651
22655,22654
29593,29592
29039,29038
29040,29038
29404,29403
29229,29228
29230,29228
29304,29303
29103,29102
29104,29102
29105,29102
29240,29239
29312,29311
29467,29465
29468,29465
29492,29491
29494,29493
29214,29213
29215,29213
29216,29213
3932,3931
3896,3897
4007,4006
4008,4006
4009,4006
3936,3935
3702,3701
3703,3701
3724,3723
3911,3910
3912,3910
4155,4154
4170,4169
3656,3655
3667,3666
3552,3551
3553,3551
3151,3150
3152,3150
3153,3150
3328,3327
3509,3508
27532,27531
27533,27531
27450,27449
27472,27449
27452,27451
27479,27478
27480,27478
27575,27573
27461,27460
27251,27250
27689,27688
27690,27688
27348,27347
27960,27959
745,744
746,744
752,751
854,853
855,853
819,818
820,818
695,694
696,694
704,703
1019,1018
1058,1057
1059,1057
1147,1146
489,488
501,500
477,476
478,476
935,934
1089,1088
1093,1092
1280,1279
1281,1279
27119,27118
27137,27136
27138,27136
27139,27136
30490,30489
30429,30428
30580,30579
30013,30012
25529,25528
25530,25528
25931,25930
25932,25930
25933,25930
25753,25752
26135,26134
30788,30787
30789,30787
5141,5140
5091,5090
5154,5153
5155,5153
5156,5153
13636,13635
13637,13635
13395,13394
